Station,"Date, Time",Depth (m),00985 DO                        (mg/l),"1977S Turbidity, Sensor         (FNU)","01977 Turbidity, Lab            (NTU)",01648 pH                        (None),01815 Sp Cond                   (umho/cm),02849 Water Temp                (deg C),05250 Water Depth               (m)
M2113295Y,"20201202, 1439",0,20.22,31.02,35.1,9.17,429.6,5,0.665
M2113295Y,"20201202, 1439",0.3,20.65,30.86,,9.19,429.9,4.9,
M2113295Y,"20210223, 1329",0,16.4,9.47,18.2,8.34,586,3.6,0.51
M2113295Y,"20210316, 1441",0,15.31,47.66,79.3,8.93,455.3,8.7,0.74
M2113295Y,"20210316, 1441",0.4,15.34,48.96,,8.92,455.4,8.7,
M2113295Y,"20210608, 1248",0,9.06,50.16,53.4,8.37,519,27.7,0.5
M2113295Y,"20210622, 1311",0,14.01,73.94,161,8.79,521,25.9,0.35
M2113295Y,"20210707, 1320",0,13.03,59.18,119,8.97,455.4,31.9,0.445
M2113295Y,"20210720, 1229",0,11.06,123.08,149,8.92,401,29.9,0.34
M2113295Y,"20210803, 1245",0,16.52,128,105,9.09,429.3,28.4,0.46
M2113295Y,"20210817, 1319",0,14.3,59.16,81.7,9.14,419.1,31,0.45
M2113295Y,"20210831, 1225",0,8.38,80.67,72.1,8.66,473.6,28.4,0.42
M2113295Y,"20210914, 1318",0,15.12,86.2,105,9.02,451.1,27.3,0.46
M2113295Y,"20211209, 1604",0,16.75,55.92,34.5,8.96,451.1,5.6,0.465
M2113295Y,"20220113, 1612",0,28.32,9.17,11.8,8.74,553,4.9,0.44
M2113295Y,"20220324, 1609",0,15.18,46.42,73.6,8.57,441,11.5,0.795
M2113295Y,"20220607, 1341",0,10.07,26.08,36.3,8.78,429.7,26.2,1.25
M2113295Y,"20220607, 1341",0.9,8.6,30.69,,8.69,432.4,25.9,
M2113295Y,"20220622, 1306",0,11.21,49.45,76.1,8.71,479.1,30.6,0.8
M2113295Y,"20220706, 1427",0,13.62,80.65,124,9.01,477.2,31.5,0.64
M2113295Y,"20220706, 1427",0.3,12.53,77.13,,8.96,480,31.5,
M2113295Y,"20220719, 1252",0,12.22,85.56,172,8.97,459.9,31.1,0.41
M2113295Y,"20220802, 1259",0,9.85,88.09,183,8.92,488.1,31.3,0.395
M2113295Y,"20220816, 1300",0,18.39,52.24,95.3,9.27,462.3,27.3,0.53
M2113295Y,"20220830, 1433",0,13.91,98.75,161,9.13,452.2,29.2,0.39
M2113295Y,"20220913, 1439",0,16.45,70.09,82.1,9.24,435.7,25.5,0.47
M2113295Y,"20221219, 1034",0,18.78,7.64,14.5,8.94,468.7,2.7,0.58
M2113295Y,"20221219, 1034",0.3,18.4,7.63,,8.91,481.2,3.4,
M2113295Y,"20230215, 1246",0,14.14,16.88,29.7,9.04,422.7,7.4,0.52
M2113295Y,"20230301, 1023",0,17.39,18.47,29,9.17,432.3,8.6,0.825
M2113295Y,"20230606, 1322",0,16.18,43.83,76.6,8.86,408.3,30.5,0.68
M2113295Y,"20230621, 1340",0,12.63,39.64,70.1,9.08,450.9,29.8,0.49
