Project,Monitoring Season,Site,Date,Time,Temp C,Specific Cond µS/cm,DO %,DO mg/L,pH,Turbidity FNU,Depth m,Battery V
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/2/2020,16:00:37,5.081,426,161.3,20.53,9.3,23.21,0.607,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/2/2020,18:00:02,4.613,421.8,165.8,21.36,9.33,25.12,0.605,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/2/2020,20:00:00,4.58,421,167.1,21.55,9.33,26.31,0.599,6.21
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/2/2020,22:00:11,4.614,424.1,152.1,19.59,9.24,27.73,0.585,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/3/2020,0:00:11,4.426,423.2,148.8,19.27,9.21,26.11,0.571,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/3/2020,2:00:11,4.452,425.2,140.7,18.21,9.16,25.29,0.555,6.19
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/3/2020,4:00:11,4.439,423.7,140.5,18.18,9.15,24.28,0.543,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/3/2020,6:00:10,4.45,422.4,140.7,18.21,9.14,23.52,0.535,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/3/2020,8:00:10,4.17,420.2,147.7,19.24,9.19,19.04,0.535,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/3/2020,10:00:10,4.224,417.5,154.4,20.1,9.23,19.05,0.531,6.21
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/3/2020,12:00:11,4.579,414.7,166.2,21.43,9.29,20.37,0.511,6.21
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/3/2020,14:00:10,5.079,415.6,168.2,21.41,9.29,22.12,0.472,6.21
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/3/2020,16:00:10,5.437,412,180.8,22.81,9.38,20.02,0.471,6.22
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/3/2020,18:00:10,4.828,408.6,176,22.55,9.37,20.16,0.468,6.21
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/3/2020,20:00:10,4.829,407,174.6,22.38,9.35,18.97,0.463,6.22
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/3/2020,22:00:10,4.69,406.5,170.3,21.9,9.32,20.58,0.456,6.21
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/4/2020,0:00:10,4.545,408,166.8,21.53,9.3,20.35,0.447,6.21
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/4/2020,2:00:11,4.458,408,164.4,21.27,9.29,17.95,0.43,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/4/2020,4:00:11,4.075,410,160,20.91,9.27,17.37,0.408,6.21
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/4/2020,6:00:11,3.63,406.6,156.6,20.71,9.26,17.83,0.386,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/4/2020,8:00:11,3.443,407.7,153.1,20.35,9.25,17.79,0.381,6.19
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/4/2020,10:00:11,3.456,407.7,150.6,20,9.26,17.74,0.378,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/4/2020,12:00:11,4.358,406.9,158.7,20.58,9.3,18.14,0.349,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/4/2020,14:00:11,5.801,409.7,160,20,9.26,18.5,0.343,6.21
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/4/2020,16:00:11,5.909,403.6,170.7,21.28,9.34,16.45,0.357,6.22
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/4/2020,18:00:11,5.969,410.5,165.2,20.56,9.29,19.48,0.375,6.21
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/4/2020,20:00:10,5.619,412,159.3,20,9.27,20.2,0.39,6.21
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/4/2020,22:00:11,5.343,413,155.5,19.66,9.25,20.01,0.404,6.21
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/5/2020,0:00:10,4.822,407.8,156.4,20.04,9.28,17.3,0.418,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/5/2020,2:00:11,4.516,405.1,155.1,20.04,9.28,17.4,0.431,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/5/2020,4:00:10,4.468,407.4,150.2,19.43,9.24,17.67,0.441,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/5/2020,6:00:11,4.455,412.3,144.6,18.71,9.2,17.21,0.452,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/5/2020,8:00:11,4.243,413.6,142.9,18.59,9.19,17.58,0.469,6.21
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/5/2020,10:00:10,4.246,413.7,146.1,19,9.21,17.58,0.474,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/5/2020,12:00:09,4.92,412.7,153.1,19.57,9.24,17.41,0.457,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/5/2020,14:00:11,6.365,411.3,164.1,20.21,9.27,14.92,0.401,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/5/2020,16:00:10,6.82,408.1,171.1,20.84,9.3,15.57,0.374,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/5/2020,18:00:11,6.418,407.9,168,20.67,9.29,16.56,0.372,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/5/2020,20:00:11,5.929,407.9,164.8,20.52,9.29,16.51,0.362,6.19
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/5/2020,22:00:11,5.591,408.2,160.7,20.19,9.27,17.03,0.355,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/6/2020,0:00:10,5.238,408.9,156.1,19.79,9.25,16.98,0.349,6.19
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/6/2020,2:00:11,4.809,409.9,152.7,19.57,9.24,16.18,0.339,6.19
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/6/2020,4:00:09,4.655,410.5,149.9,19.29,9.23,17.11,0.339,6.18
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/6/2020,6:00:10,4.564,412,145.5,18.77,9.2,18.59,0.349,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/6/2020,8:00:10,4.305,412.3,143.1,18.58,9.2,16.29,0.363,6.18
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/6/2020,10:00:11,4.39,412.4,145.8,18.89,9.23,16.04,0.374,6.19
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/6/2020,12:00:11,4.784,410.6,151.6,19.44,9.25,15.57,0.373,6.19
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/6/2020,14:00:11,5.513,410,156.1,19.65,9.26,15.3,0.371,6.19
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/6/2020,16:00:11,5.801,409.5,158.4,19.79,9.28,15.22,0.377,6.19
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/6/2020,18:00:11,5.546,409.5,159.3,20.04,9.29,15.69,0.392,6.2
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/6/2020,20:00:11,5.189,412.8,152.7,19.38,9.27,16.05,0.391,6.18
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/6/2020,22:00:28,5.116,413.5,149.1,18.96,9.26,15.27,0.389,6.18
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/7/2020,0:00:46,4.974,413.7,146.5,18.71,9.24,15.83,0.393,6.18
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/7/2020,2:00:47,4.936,414.1,140.6,17.97,9.21,17.27,0.393,6.17
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/7/2020,4:00:47,4.814,413.6,136.7,17.52,9.2,15.73,0.393,6.18
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/7/2020,6:00:47,4.654,423.6,125.3,16.12,9.11,15.55,0.395,6.17
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/7/2020,8:00:21,4.561,422.5,124.4,16.05,9.12,16.88,0.397,6.18
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/7/2020,10:00:14,4.65,420.1,122.8,15.81,9.12,16.64,0.404,6.17
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/7/2020,12:00:10,4.646,421.4,128.5,16.53,9.16,16.72,0.395,6.17
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/7/2020,14:00:47,4.684,422,130,16.71,9.17,9.82,0.382,6.17
